,category,src,news
415,棒球,FOX體育臺,日職》宋家豪中繼1局3上3下 樂天熱身賽勝橫濱 - 最新體育新聞，即時比分，賽程和戰績 | FOX體育臺
416,籃球,,Wiggins你變了！勇士15分逆轉金塊，枸杞曼巴再破紀錄，流汗的感覺真的太好了！（影）
417,籃球,,湖人出擊！最後一簽選誰？詹皇經紀人很關鍵，10天合同更穩妥！
418,籃球,,【影片】翻江倒海！胖虎籃下一打四，6秒4連跳打成2+1，嚇得Russell不敢動！
419,籃球,NBA 台灣,腹股溝傷勢缺陣6場 傳里拉德5號有望回歸賽場 | NBA 台灣
420,籃球,fanpiece,被問到希望LaMelo Ball被那支球隊選中，球爸作出回應 | 籃球時刻 | 籃球地帶 - fanpiece
421,籃球,,談到執教馬刺獲首勝，石佛卻很幽默：我只是裝作很懂球的樣子，在場邊大喊大叫！
422,籃球,,詹皇22+7+14！再飆中場三分信心爆炸，一傳一抄截主導勝利！（影）
423,棒球,FOX體育臺,MLB》釀酒人9年逾64億大約 續留前國聯MVP Yelich - 最新體育新聞，即時比分，賽程和戰績 | FOX體育臺
424,籃球,NBA 台灣,戴維斯歸隊單節扭轉戰局 湖人力壓殘陣76人 | NBA 台灣
425,棒球,運動視界 Sports Vision,王正棠代打建功 富邦樂天握手言和 - 中職 - 棒球 | 運動視界 Sports Vision
426,籃球,,19投37+13！一眉復出就攤牌，拼到摔進觀眾席，詹皇為他瘋狂慶祝！（影）
427,籃球,NBA 台灣,戴維斯歸隊單節扭轉戰局 湖人力壓殘陣76人 | NBA 台灣
428,棒球,運動視界 Sports Vision,王正棠代打建功 富邦樂天握手言和 - 中職 - 棒球 | 運動視界 Sports Vision
429,籃球,,19投37+13！一眉復出就攤牌，拼到摔進觀眾席，詹皇為他瘋狂慶祝！（影）
430,籃球,107輕取76人取連勝（影）,完成復仇！一眉哥37+13，詹姆斯22+14，湖人120-107輕取76人取連勝（影）
431,籃球,NBA 台灣,鵜鶘防守潰堤不敵灰狼 威廉森紀錄之夜成空 | NBA 台灣
432,籃球,,去你的寒冰射手！51秒連中3記三分，勇士Poole綻放芬芳，今夜他是Curry！（影）
433,籃球,FOX體育臺,籃球》憂武漢肺炎疫情 非洲聯盟延後開打 - 最新體育新聞，即時比分，賽程和戰績 | FOX體育臺
434,籃球,,末節+延長賽狂轟37分！LeVert狂轟51分創生涯新高，扮演救世主客勝綠軍！（影）
435,棒球,運動視界 Sports Vision,一份遠低於市場價值的延長合約，為什麼卻是Christian Yelich與釀酒人的雙贏？ - MLB - 棒球 | 運動視界 Sports Vision
436,籃球,NBA 台灣,搶勝準備迎接柯瑞回歸 勇士作客丹佛暴冷碎金塊 | NBA 台灣
437,籃球,,【影片】勇氣可嘉！96公斤後衛造129公斤胖虎進攻犯規，被「人肉坦克」直接撞飛出界外！
438,籃球,,【影片】打瘋了！一眉哥半場砍下26分7板3抄截，湖人單節狂勝18分，76人徹底懵了！
439,籃球,fanpiece,Jrue Holiday透露巔峯時的Derrick Rose是如何難以防守 | 籃球時刻 | 籃球地帶 - fanpiece
440,籃球,NBA 台灣,勒佛特猛轟新高51分 籃網戲劇化逆轉綠衫軍 | NBA 台灣
441,籃球,,【影片】勇氣可嘉！96公斤後衛造129公斤胖虎進攻犯規，被「人肉坦克」直接撞飛出界外！
442,籃球,,【影片】打瘋了！一眉哥半場砍下26分7板3抄截，湖人單節狂勝18分，76人徹底懵了！
443,籃球,fanpiece,Jrue Holiday透露巔峯時的Derrick Rose是如何難以防守 | 籃球時刻 | 籃球地帶 - fanpiece
444,籃球,NBA 台灣,勒佛特猛轟新高51分 籃網戲劇化逆轉綠衫軍 | NBA 台灣
445,籃球,NBA 台灣,威廉森首獲單月最佳新秀 商品銷售量衝聯盟前5 | NBA 台灣
446,籃球,,43歲鄧肯首次出任主帥顯才能，創造17分大逆轉險勝，他讓20歲菜鳥變奇兵！（影）
447,籃球,NBA 台灣,鄧肯代班波總上位 馬刺險勝黃蜂挺老大哥 | NBA 台灣
448,籃球,,2月最佳球員出爐！詹姆斯40次當選刷新紀錄，Tatum打破字母哥的「壟斷」！
449,籃球,運動視界 Sports Vision,王身邊的男人！Danny Green如何成為超級球星身邊最給力的綠葉 - NBA - 籃球 | 運動視界 Sports Vision
450,籃球,,火箭出手簽28歲神槍？湖人送大禮，美媒：3原因幫助雙MVP衝冠！
451,籃球,fanpiece,(飛太遠) Josh Okogie成功製造Zion Williamson的進攻犯規，但自己被撞到飛出場外 | 相信過程 | 籃球地帶 - fanpiece
452,籃球,NBA 台灣,柯瑞6日復出戰暴龍 勇士主帥：機率很高 | NBA 台灣
453,籃球,,二球3年內拿NBA得分王，鵜鶘季後賽將掀翻湖人，球爹這波預測太瘋狂！
454,棒球,,MLB》提武漢肺炎防範建議 暫未更動賽事時間
455,棒球,FOX體育臺,MLB》腿部不適 林子偉春訓提前傷退 - 最新體育新聞，即時比分，賽程和戰績 | FOX體育臺
456,籃球,NBA 台灣,2月東西區最佳球員 詹皇、泰托姆各自閃耀 | NBA 台灣
457,籃球,fanpiece,Jaylen Brown在比賽中做出360度灌籃 | 相信過程 | 籃球地帶 - fanpiece
458,籃球,,2月最佳新秀出爐！胖虎終結莫蘭特三連霸，Coby場均20+當選，兩人均是首次獲獎！
459,籃球,,34000分我來了！詹姆斯一戰有望衝擊兩大里程碑，同天超越郵差和Kobe？
460,籃球,,18.5億美元！又一支NBA球隊被曝出售，最新市值排名第12位！
461,籃球,fanpiece,Jaylen Brown在比賽中做出360度灌籃 | 相信過程 | 籃球地帶 - fanpiece
462,籃球,,2月最佳新秀出爐！胖虎終結莫蘭特三連霸，Coby場均20+當選，兩人均是首次獲獎！
463,籃球,,34000分我來了！詹姆斯一戰有望衝擊兩大里程碑，同天超越郵差和Kobe？
464,籃球,,18.5億美元！又一支NBA球隊被曝出售，最新市值排名第12位！
465,籃球,運動視界 Sports Vision,2019-20 NBA中央組3/4球季戰報：歸來的少主 - NBA - 籃球 | 運動視界 Sports Vision
466,籃球,,15分鐘喬丹！隊魂級別的在場數據，他才是湖人真正的秘密武器？
467,籃球,,Barnes的前妻有多美？身材堪比卡戴珊，怪不得Fisher會情不自禁！
468,籃球,,聯盟歷史從未大傷的球星有誰？邮差馬龍上榜，一人16年只歇9場！
469,籃球,,同樣是中鋒，為何姚明罰球那麼準？這兩個小技巧，讓命中率突飛猛進！
470,籃球,,圖看NBA辣眼睛的入場造型：KD一身民工搭配，1人把泡麵桶當帽子？
471,棒球,FOX體育臺,MLB》黃暐傑1局無失分救援成功 朱立人2打數無安打 - 最新體育新聞，即時比分，賽程和戰績 | FOX體育臺
472,籃球,NBA 台灣,尼克探花繳代表作退火箭 哈登也喊讚 | NBA 台灣
473,籃球,,JR：只對熟人使解鞋帶這招，G1以為搶下籃板就行了，打橄欖球比籃球還強！
474,籃球,fanpiece,"[NBA一週回顧] 巨人甦醒, 溜馬鵜鶘再度損兵折將, 待業球員出路 | 圓球視野 | 籃球地帶 - fanpiece"
475,棒球,FOX體育臺,MLB》林子偉替補上場敲二壘打 熱身賽打擊率4成12 - 最新體育新聞，即時比分，賽程和戰績 | FOX體育臺
476,籃球,NBA 台灣,賽後與楊恩互換球衣 莫蘭特：研讀他的比賽 | NBA 台灣
477,籃球,fanpiece,【和Zion Williamson說悄悄話 James：分享經驗是我的責任】 | 04看世界 | 籃球地帶 - fanpiece
478,籃球,NBA 台灣,太座被NBA菜鳥喊阿姨 詹皇回應她永遠剛滿21 | NBA 台灣
479,棒球,,日職》王柏融官辦熱身賽安打率3成3 吳念庭代跑獲保送
480,籃球,NBA 台灣,至發展聯盟練球受關注 柯瑞親民作風獲好評 | NBA 台灣
481,籃球,,Kobe為何不上大學？只因不想錯過與神的巔峰對決！
482,籃球,fanpiece,公牛主教練Jim Bolyen在自家球員快將完成進攻時叫暫停，Luka Doncic露出微笑 | 籃球時刻 | 籃球地帶 - fanpiece
483,籃球,fanpiece,【Robinson補足出賽數 有望挑戰上古神獸歷史命中率紀錄】 | 04看世界 | 籃球地帶 - fanpiece
484,籃球,聯合新聞網：最懂你的新聞網站,UBA／戴宜庭飆分 文化退衛冕軍躲過3連敗 | 聯合新聞網：最懂你的新聞網站
485,籃球,NBA 台灣,太座被NBA菜鳥喊阿姨 詹皇回應她永遠剛滿21 | NBA 台灣
486,棒球,,日職》王柏融官辦熱身賽安打率3成3 吳念庭代跑獲保送
487,籃球,NBA 台灣,至發展聯盟練球受關注 柯瑞親民作風獲好評 | NBA 台灣
488,籃球,,Kobe為何不上大學？只因不想錯過與神的巔峰對決！
489,籃球,fanpiece,公牛主教練Jim Bolyen在自家球員快將完成進攻時叫暫停，Luka Doncic露出微笑 | 籃球時刻 | 籃球地帶 - fanpiece
490,籃球,fanpiece,【Robinson補足出賽數 有望挑戰上古神獸歷史命中率紀錄】 | 04看世界 | 籃球地帶 - fanpiece
491,籃球,聯合新聞網：最懂你的新聞網站,UBA／戴宜庭飆分 文化退衛冕軍躲過3連敗 | 聯合新聞網：最懂你的新聞網站
492,棒球,FOX體育臺,【春訓】逮中首球 王柏融首打席就敲穿越安打 - 最新體育新聞，即時比分，賽程和戰績 | FOX體育臺
493,籃球,fanpiece,看見年輕的自己 ? 玫瑰盛讚Morant ! | 懂個籃 | 籃球地帶 - fanpiece
494,籃球,fanpiece,五位無球可打但球迷都很希望他們回歸的老將 (上) | 男籃天空高掛我的夢 | 籃球地帶 - fanpiece
495,棒球,FOX體育臺,【大聯盟小百科】規則四選秀／六月業餘選秀（Rule 4 Draft） - 最新體育新聞，即時比分，賽程和戰績 | FOX體育臺
496,籃球,fanpiece,Mario Hezonja捉住裁判的手阻止吹隊友McCollum技犯，網友：想看Green做同一樣的動作 | 相信過程 | 籃球地帶 - fanpiece
497,籃球,fanpiece,【一代傳奇】 Vince Carter 超越 Jason Terry 躋身歷史三分球命中數第六位！ | 籃球隨筆 | 籃球地帶 - fanpiece
498,籃球,FOX體育臺,NBA》武漢肺炎防疫備忘錄 球星球迷互動有撇步 - 最新體育新聞，即時比分，賽程和戰績 | FOX體育臺
499,籃球,fanpiece,Zion Williamson與McGee交換球衣只給了McGee球衣便離開，片段於Twitter瘋傳 | 籃球時刻 | 籃球地帶 - fanpiece
