,category,src,news
73,網球,運動視界 Sports Vision,聯邦盃退賽疑雲：謝淑薇與中華網協究竟誰站得住腳？ - 網球 | 運動視界 Sports Vision
74,籃球,fanpiece,Curry復出戰速龍: 希望他們不要對我用Box-and-1防守戰術 ! | 懂個籃 | 籃球地帶 - fanpiece
75,足球,fanpiece,捷維爾價高難求 泰利斯或是可行人選 | 評球品足小球僮 | 球迷世界 - fanpiece
76,籃球,運動視界 Sports Vision,不高的火箭依舊能升空 - 小球陣容SWOT分析 - NBA - 籃球 | 運動視界 Sports Vision
77,籃球,黑特籃球NBA新聞影音圖片分享社區,奇景！35分0籃板0助攻0阻攻0抄截，奇葩數據20年僅有三次，近58天已現兩次！（影） - Haters-黑特籃球NBA新聞影音圖片分享社區
78,籃球,FOX體育臺,NBA》字母哥砍29分 助公鹿擒溜馬保未曾連敗紀錄 - 最新體育新聞，即時比分，賽程和戰績 | FOX體育臺
79,籃球,黑特籃球NBA新聞影音圖片分享社區,詹姆斯和一眉哥，現在究竟誰影響誰？沃格爾終於說出心裡話！ - Haters-黑特籃球NBA新聞影音圖片分享社區
80,籃球,NBA 臺灣,唐西奇生涯第22次大三元 創多項紀錄 | NBA戰況 | NBA 臺灣
81,籃球,黑特籃球NBA新聞影音圖片分享社區,聯盟吸金王！Zion周邊產品銷量近35天聯盟第一，人氣太火為此還苦練簽名！ - Haters-黑特籃球NBA新聞影音圖片分享社區
82,籃球,fanpiece,【Robinson狂轟9記三分彈 熱火隊史新高22記外線射穿魔術】 | 04看世界 | 籃球地帶 - fanpiece
83,籃球,黑特籃球NBA新聞影音圖片分享社區,手握7000萬合同！為了這80萬打不成季後賽，天才榜眼合同年被封殺！ - Haters-黑特籃球NBA新聞影音圖片分享社區
84,籃球,NBA 臺灣,布朗右腿筋拉傷 預估至少缺席一星期 | 傷兵情報 | NBA 臺灣
85,籃球,黑特籃球NBA新聞影音圖片分享社區,【影片】Cuban直接雙手抱頭！胖虎轉身撞飛對手暴扣，重型坦克展現恐怖殺傷力！ - Haters-黑特籃球NBA新聞影音圖片分享社區
86,籃球,黑特籃球NBA新聞影音圖片分享社區,76人擲億元簽Horford內幕曝光：堅信他能在季後賽防死字母哥！ - Haters-黑特籃球NBA新聞影音圖片分享社區
87,籃球,NBA 臺灣,卡佩拉回歸時間推遲 預估兩週後評估傷勢 | 傷兵情報 | NBA 臺灣
88,籃球,黑特籃球NBA新聞影音圖片分享社區,大黑熊歸來！Randolph將加盟BIG 3聯賽，17年NBA生涯累積賺2億美元薪水！ - Haters-黑特籃球NBA新聞影音圖片分享社區
89,籃球,,忍左手傷勢　Doncic大三元破紀錄
90,籃球,黑特籃球NBA新聞影音圖片分享社區,65年差距最懸殊！東區豪強陷一大怪圈，主場14連勝客場9連敗！ - Haters-黑特籃球NBA新聞影音圖片分享社區
91,籃球,黑特籃球NBA新聞影音圖片分享社區,你留意到了嗎？老大意外逝世後，羅斯每場比賽的護臂上，都寫了一個8來悼念Kobe！ - Haters-黑特籃球NBA新聞影音圖片分享社區
92,籃球,黑特籃球NBA新聞影音圖片分享社區,柯瑞：詹姆斯詢問了我的傷勢，掛電話前說了一句話，讓我感到無奈又尷尬！ - Haters-黑特籃球NBA新聞影音圖片分享社區
93,籃球,fanpiece,【Sexton生涯新高41分成空砍 Tatum持續火燙手感領軍擊倒騎士】 | 04看世界 | 籃球地帶 - fanpiece
94,籃球,NBA 臺灣,裏拉德傷癒歸隊 拓荒者4人破20分力壓巫師 | NBA戰況 | NBA 臺灣
95,籃球,黑特籃球NBA新聞影音圖片分享社區,超越Kidd、德佬！東契奇30+17+10刷爆紀錄，兩數據已成隊史第一人！（影） - Haters-黑特籃球NBA新聞影音圖片分享社區
96,籃球,黑特籃球NBA新聞影音圖片分享社區,28年尼克超級粉絲Spike Lee遭球隊封殺，跟尼克隊鬧掰宣佈本賽季棄看！ - Haters-黑特籃球NBA新聞影音圖片分享社區
97,籃球,fanpiece,Stephen Curry確定復出並在推特興奮惡搞 | 男籃天空高掛我的夢 | 籃球地帶 - fanpiece
98,籃球,黑特籃球NBA新聞影音圖片分享社區,三戰狂勝95分！西區青年軍徹底打瘋了，已3連勝提前扼殺爭8懸念？（影） - Haters-黑特籃球NBA新聞影音圖片分享社區
99,籃球,NBA 臺灣,唐西奇、波爾辛吉斯主宰延長賽 獨行俠險勝鵜鶘 | NBA戰況 | NBA 臺灣
100,籃球,黑特籃球NBA新聞影音圖片分享社區,連續13場20+，記錄雖保，胖虎卻遭遇生涯最慘一戰，多次被蓋翻狼狽倒地！（影） - Haters-黑特籃球NBA新聞影音圖片分享社區
101,籃球,NBA 臺灣,飆22記三分球破紀錄 熱火險過魔術迎4連勝 | NBA戰況 | NBA 臺灣
102,籃球,黑特籃球NBA新聞影音圖片分享社區,漸成超巨！Tatum連續5場30+，刷新隊史紀錄，難怪厄文降不住他！（影） - Haters-黑特籃球NBA新聞影音圖片分享社區
103,籃球,NBA 臺灣,灰熊客場連兩戰淨勝39分 聯盟史上首見 | NBA戰況 | NBA 臺灣
104,籃球,黑特籃球NBA新聞影音圖片分享社區,認真的湖人防守有多強？只用了一節就把76人擊潰，布朗教練：這很真實！ - Haters-黑特籃球NBA新聞影音圖片分享社區
105,籃球,fanpiece,又一受害者！Zion Williamson快攻強行撞走Maxi Kleber，再轉身完成爆扣 | 相信過程 | 籃球地帶 - fanpiece
106,籃球,NBA 臺灣,灰熊客場連兩戰淨勝39分 聯盟史上首見 | NBA戰況 | NBA 臺灣
107,籃球,黑特籃球NBA新聞影音圖片分享社區,認真的湖人防守有多強？只用了一節就把76人擊潰，布朗教練：這很真實！ - Haters-黑特籃球NBA新聞影音圖片分享社區
108,籃球,fanpiece,又一受害者！Zion Williamson快攻強行撞走Maxi Kleber，再轉身完成爆扣 | 相信過程 | 籃球地帶 - fanpiece
109,籃球,黑特籃球NBA新聞影音圖片分享社區,僅剩20場比賽，勇士基本無緣季後賽，柯瑞為何還要回歸？只因科爾想弄明白五件事！ - Haters-黑特籃球NBA新聞影音圖片分享社區
110,籃球,fanpiece,Danny Green分享湖人是如何防守Kawhi Leonard | 相信過程 | 籃球地帶 - fanpiece
111,籃球,黑特籃球NBA新聞影音圖片分享社區,【影片】2秒4步7米！歐洲步連過兩人反扣！5慢鏡回放，字母哥極限操作太逆天！ - Haters-黑特籃球NBA新聞影音圖片分享社區
112,籃球,黑特籃球NBA新聞影音圖片分享社區,逝去的Kobe仍在指引湖人！Rondo賽後加練，有誰注意訓練牆上寫著曼巴字眼！ - Haters-黑特籃球NBA新聞影音圖片分享社區
113,籃球,fanpiece,首次對決，Luka Doncic在Zion Williamson面前使出Step-back三分 | 相信過程 | 籃球地帶 - fanpiece
114,籃球,黑特籃球NBA新聞影音圖片分享社區,告別的鐘聲將至！卡特：臨近退役很難過，隊友總提醒我還剩幾場比賽！ - Haters-黑特籃球NBA新聞影音圖片分享社區
115,籃球,黑特籃球NBA新聞影音圖片分享社區,看衰一眉哥！韋德堅信Smart獲最佳防守球員：他讓人回到喬丹時代！ - Haters-黑特籃球NBA新聞影音圖片分享社區
116,籃球,黑特籃球NBA新聞影音圖片分享社區,35歲保羅寶刀不老！一度7連中，遭爭議判罰後最後21秒送致命一傳殺死比賽！（影） - Haters-黑特籃球NBA新聞影音圖片分享社區
117,籃球,黑特籃球NBA新聞影音圖片分享社區,Tatum的母親鼓勵兒子要超越Kobe，Tatum回應：什麼？你顯然不知道Kobe是誰！ - Haters-黑特籃球NBA新聞影音圖片分享社區
118,籃球,fanpiece,原來正選上陣的新秀Kevin Porter Jr.因為忘了穿球衣，被迫轉為板凳，俠客已轉發 | 籃球時刻 | 籃球地帶 - fanpiece
119,籃球,fanpiece,力的表現！字母哥上籃失敗後自行搶回進攻籃底，在四人防守下完成爆扣 | 籃球時刻 | 籃球地帶 - fanpiece
120,籃球,,大戰舊主快艇！Alexander賽前的穿著太引人注目，泰倫盧：我招你惹你了…
121,籃球,,皮本直言詹姆斯與Zion稱兄道弟是懦弱，軟豆替詹皇出頭，這番話讓皮本無言以對！
122,籃球,fanpiece,原來正選上陣的新秀Kevin Porter Jr.因為忘了穿球衣，被迫轉為板凳，俠客已轉發 | 籃球時刻 | 籃球地帶 - fanpiece
123,籃球,fanpiece,力的表現！字母哥上籃失敗後自行搶回進攻籃底，在四人防守下完成爆扣 | 籃球時刻 | 籃球地帶 - fanpiece
124,籃球,,大戰舊主快艇！Alexander賽前的穿著太引人注目，泰倫盧：我招你惹你了…
125,籃球,,皮本直言詹姆斯與Zion稱兄道弟是懦弱，軟豆替詹皇出頭，這番話讓皮本無言以對！
126,籃球,,黑特籃球
127,籃球,,聯盟第一！164分鐘贏74分超湖人快艇五虎，新天賦先發陣容出爐！
128,籃球,,領先17分遭逆轉，魚腩給鄧肯送溫暖！東區瘋狂6隊擺爛，威脅勇士搶狀元！
129,籃球,,女老闆曝光湖人F4解體原因，教練不尊重魔獸比賽，如今卻成爭冠拼圖！
130,籃球,fanpiece,Duncan談執教馬刺首秀：我只是站在那邊亂喊，裝作很懂球的樣子！ | 懂個籃 | 籃球地帶 - fanpiece
